example,N,lambda,m,x,error,log10_error
6.1,40,2,1,-1.0,0.59104992074098622,-0.228375836569259525
6.1,40,2,1,-0.999995248584343545,0.58698918578935748,-0.231369899766475208
6.1,40,2,1,-0.999924211521349333,0.57488015508764327,-0.240422682978107544
6.1,40,2,1,-0.999618289350584636,0.554942670195299797,-0.255751880487887809
6.1,40,2,1,-0.998802267701416716,0.5275439618240131,-0.277741343457665768
6.1,40,2,1,-0.997102837214649875,0.493199130387547256,-0.30697769782696001
6.1,40,2,1,-0.99406021111524958,0.452570503828118867,-0.344313754495566163
6.1,40,2,1,-0.989142539419205524,0.406464982391455394,-0.390976863622769978
6.1,40,2,1,-0.981762745781210568,0.355828688871235646,-0.448759039624261663
6.1,40,2,1,-0.971297349339973221,0.301738585937267169,-0.520369149261157808
6.1,40,2,1,-0.957106781186547524,0.245391061115970333,-0.610141261408177407
6.1,40,2,1,-0.938556664590241373,0.188087656499892681,-0.725639704661647119
6.1,40,2,1,-0.915039500886209985,0.131218002412023513,-0.882006577979715718
6.1,40,2,1,-0.885996189650835563,0.0762395440354914719,-1.11781970973938048
6.1,40,2,1,-0.850936812812665074,0.024652880868854969,-1.60813232294491674
6.1,40,2,1,-0.809460127661726653,0.0220293467324561151,-1.65699838141010889
6.1,40,2,1,-0.76127124296868428,0.0623227897306325331,-1.20535311474654933
6.1,40,2,1,-0.706196994902997377,0.0948238414539871286,-1.02308245474923324
6.1,40,2,1,-0.644198594114019262,0.118276293127123553,-0.927102295066299285
6.1,40,2,1,-0.575381180876629377,0.131652236828774473,-0.880571757643055044
6.1,40,2,1,-0.5,0.134243941121897189,-0.872105306348750988
6.1,40,2,1,-0.418462989420939487,0.125759140943519244,-0.90046043794559841
6.1,40,2,1,-0.331329664033557524,0.106407673250798809,-0.973027053146959697
6.1,40,2,1,-0.239306267191186554,0.076963790705513573,-1.11371355009259092
6.1,40,2,1,-0.143237254218789432,0.0387871428825435063,-1.41131220998604995
6.1,40,2,1,-0.0440932629315471094,0.00621247300879919217,-2.20673548512461311
6.1,40,2,1,0.0570441866664285093,0.0556753250198828256,-1.25433723897412886
6.1,40,2,1,0.159000939781062167,0.106955852705708449,-0.970795445517440958
6.1,40,2,1,0.260531003698736273,0.157337751780706849,-0.803167059812044613
6.1,40,2,1,0.360339432070125938,0.204275798847251016,-0.68978308246040875
6.1,40,2,1,0.457106781186547524,0.245632272478292684,-0.60971457385633035
6.1,40,2,1,0.549514581860088655,0.279873689470834905,-0.553037927024051607
6.1,40,2,1,0.63627124296868428,0.306198191298312073,-0.513997378992044056
6.1,40,2,1,0.716137789288978919,0.324574492831759242,-0.488685612845215879
6.1,40,2,1,0.787952837261486145,0.335687460823808246,-0.474064880964483543
6.1,40,2,1,0.850656227807923637,0.340799895353180817,-0.467500547260804332
6.1,40,2,1,0.903310764888890428,0.341551880539258812,-0.46654331915489765
6.1,40,2,1,0.945121551444768567,0.339726135909046958,-0.468871040576393926
6.1,40,2,1,0.975452469668926119,0.337009601952385021,-0.472357725195339014
6.1,40,2,1,0.993839418881912408,0.334778852895169931,-0.475241983059293434
6.1,40,2,1,1.0,0.333931462871614995,-0.476342659987881684
6.1,80,5,3,-1.0,0.111947383549807406,-0.950986052358820631
6.1,80,5,3,-0.999999702807440941,0.111577387776337458,-0.952423810407295611
6.1,80,5,3,-0.999995248584343545,0.11047244865176167,-0.956746019629947909
6.1,80,5,3,-0.999975976855507145,0.108647630199376259,-0.963979741985502479
6.1,80,5,3,-0.999924211521349333,0.106127772240912084,-0.974170952077031077
6.1,80,5,3,-0.99981539727540876,0.102947095819155364,-0.987385900503022008
6.1,80,5,3,-0.999618289350584636,0.0991486620234930825,-1.00371314207123082
6.1,80,5,3,-0.999295195365124232,0.0947836948568511202,-1.02326636564437121
6.1,80,5,3,-0.998802267701416716,0.0899107810153748669,-1.04618822979332498
6.1,80,5,3,-0.9980898445224764,0.0845949611542667936,-1.072655504668653
6.1,80,5,3,-0.997102837214649875,0.0789067283437304822,-1.10288596310276503
6.1,80,5,3,-0.995781161742535385,0.0729209499765353495,-1.13714768221563706
6.1,80,5,3,-0.99406021111524958,0.0667157294121854655,-1.17577176141231551
6.1,80,5,3,-0.991871365893809898,0.0603712232096558301,-1.21917002461328341
6.1,80,5,3,-0.989142539419205524,0.0539684290232272907,-1.26786022370750436
6.1,80,5,3,-0.985798754211272794,0.0475879582538240262,-1.32250292806780273
6.1,80,5,3,-0.981762745781210568,0.0413088065196675186,-1.3839573523342388
6.1,80,5,3,-0.976955589916768575,0.0352071341007741459,-1.4533693255369105
6.1,80,5,3,-0.971297349339973221,0.0293550678828799654,-1.53231691098973788
6.1,80,5,3,-0.964707735503724299,0.0238195361212379484,-1.62306670053369078
6.1,80,5,3,-0.957106781186547524,0.0186611476765868729,-1.72906165028504673
6.1,80,5,3,-0.948415519464902978,0.0139331283155659157,-1.85595136328482938
6.1,80,5,3,-0.938556664590241373,0.00968032823486772718,-2.01410991664046645
6.1,80,5,3,-0.92745529027381034,0.00593831712133787921,-2.22633661368344657
6.1,80,5,3,-0.915039500886209985,0.00273258569278477841,-2.56342620986498449
6.1,80,5,3,-0.901241091110874668,7.78756033256818343e-5,-4.10859857570998834
6.1,80,5,3,-0.885996189650835563,0.0020223373955269001,-2.6941463874236386
6.1,80,5,3,-0.869245882675942164,0.00357617936869452693,-2.44658070663208763
6.1,80,5,3,-0.850936812812665074,0.00460350331521881816,-2.33691153975465526
6.1,80,5,3,-0.831021749619974001,0.00513577237632310585,-2.28939423297220467
6.1,80,5,3,-0.809460127661726653,0.00521567013753793398,-2.28268988314597705
6.1,80,5,3,-0.786218548477500711,0.00489640890049155431,-2.31012232129306908
6.1,80,5,3,-0.76127124296868428,0.0042407107898897207,-2.3725613447621375
6.1,80,5,3,-0.734600490953597309,0.00331944297004502279,-2.47893478838398689
6.1,80,5,3,-0.706196994902997377,0.00220989727823370219,-2.65562791298144475
6.1,80,5,3,-0.676060205143949957,9.93716313734167051e-4,-3.00273758035543155
6.1,80,5,3,-0.644198594114019262,2.45517638641360586e-4,-3.60991730154739121
6.1,80,5,3,-0.610629877557256795,0.00142499780933982547,-2.84618580329923016
6.1,80,5,3,-0.575381180876629377,0.00246566074874066325,-2.60806667838318315
6.1,80,5,3,-0.538489149192350603,0.00329533565699464205,-2.48210034235792437
