example,N,lambda,m,x,error,log10_error
6.2,40,5,1,-1.0,0.64754707922638679,-0.188728651177285693
6.2,40,5,1,-0.999999992676485618,0.644368020049650111,-0.190866021729869395
6.2,40,5,1,-0.99999953345903202,0.634850812369288179,-0.197328320341185871
6.2,40,5,1,-0.999994726652185799,0.619057457188130238,-0.208269040508629375
6.2,40,5,1,-0.99997068940438076,0.597098219672239129,-0.223954223723052167
6.2,40,5,1,-0.999889733307194123,0.569141863420865158,-0.244779468540326875
6.2,40,5,1,-0.999676300881931877,0.535429598979284796,-0.271297624336873873
6.2,40,5,1,-0.999200023196641102,0.496292238774277725,-0.304262516428426633
6.2,40,5,1,-0.998258497187473712,0.452169744024570249,-0.344698500908796192
6.2,40,5,1,-0.996561508065195625,0.403631972382330389,-0.394014439860150602
6.2,40,5,1,-0.993718433538229084,0.351399040629882849,-0.454199428525745853
6.2,40,5,1,-0.989230459427502989,0.29635939048343814,-0.528181307093675214
6.2,40,5,1,-0.982489014646351744,0.239583481932874828,-0.620543127654570161
6.2,40,5,1,-0.972781508465211609,0.182331095429878335,-0.739139258816319656
6.2,40,5,1,-0.959305041828306433,0.126050469774203064,-0.899455531423759386
6.2,40,5,1,-0.94118829000527156,0.07236778033707306,-1.1404547478402226
6.2,40,5,1,-0.91752124296868428,0.0230655066973805304,-1.63703700047651334
6.2,40,5,1,-0.887391972164912793,0.0199522352682859131,-1.70000844281922496
6.2,40,5,1,-0.849929098352177355,0.0547104549617687981,-1.26192967369695745
6.2,40,5,1,-0.804348194727037195,0.0792347870316197447,-1.10108410504003926
6.2,40,5,1,-0.75,0.0916496974733130429,-1.03786896426300423
6.2,40,5,1,-0.6864180607193161,0.0903091692525963143,-1.04426815274694616
6.2,40,5,1,-0.613363288869187824,0.0739623608663097588,-1.13098923468367603
6.2,40,5,1,-0.530862920976363103,0.0419490266400280741,-1.37727811182619872
6.2,40,5,1,-0.439241502812526288,0.00559291011180796681,-2.25236216051432139
6.2,40,5,1,-0.339141795884639083,0.067540596090861182,-1.17043511074488725
6.2,40,5,1,-0.231533897391048414,0.14166726690073629,-0.848730484590818788
6.2,40,5,1,-0.117711366339448484,0.224644182035734411,-0.64850482453365451
6.2,40,5,1,7.262688651411763e-4,0.312208189152571131,-0.505555709674851974
6.2,40,5,1,0.121904610647329838,0.399512827042468455,-0.398469272359167309
6.2,40,5,1,0.243718433538229084,0.481638286841975668,-0.317278997034104129
6.2,40,5,1,0.363887356845368776,0.554187673722165301,-0.256343138052125334
